s_adj,age,sex,unit,geo\time	2016M10 	2016M11 	2016M12 	2017M01 	2017M02 	2017M03 	2017M04 	2017M05 	2017M06 	2017M07 	2017M08 	2017M09 
SA,TOTAL,T,PC_ACT,NL	5.6 	5.6 	5.4 	5.3 	5.3 	5.1 	5.1 	5.1 	4.9 	4.8 	4.7 	4.7 
SA,TOTAL,T,PC_ACT,NO	4.8 	4.7 	4.4 	4.2 	4.3 	4.5 	4.5 	4.3 	4.3 	4.2 	4.1 	: 
SA,TOTAL,T,PC_ACT,PL	5.8 	5.6 	5.5 	5.3 	5.2 	5.1 	5.1 	5.0 	5.0 	4.8 	4.7 	4.6 
SA,TOTAL,T,PC_ACT,PT	10.6 	10.5 	10.1 	10.1 	9.9 	9.7 	9.5 	9.2 	9.1 	8.9 	8.8 	8.6 
SA,TOTAL,T,PC_ACT,RO	5.6 	5.5 	5.5 	5.3 	5.3 	5.3 	4.8 	5.2 	5.0 	5.2 	5.1 	5.0 
SA,TOTAL,T,PC_ACT,SE	6.8 	6.9 	6.9 	6.8 	6.8 	6.4 	6.7 	6.8 	6.5 	7.1 	6.6 	6.8 
SA,TOTAL,T,PC_ACT,SI	8.0 	8.0 	7.8 	7.5 	7.2 	6.9 	6.8 	6.7 	6.6 	6.5 	6.5 	6.4 
SA,TOTAL,T,PC_ACT,SK	9.2 	9.0 	8.9 	8.7 	8.6 	8.5 	8.4 	8.3 	7.9 	7.7 	7.4 	7.2 
SA,TOTAL,T,PC_ACT,TR	11.7 	11.7 	11.7 	11.6 	11.6 	11.5 	11.3 	11.3 	11.1 	11.3 	: 	: 
SA,TOTAL,T,PC_ACT,UK	4.7 	4.7 	4.6 	4.6 	4.5 	4.5 	4.4 	4.4 	4.3 	4.2 	: 	: 
SA,TOTAL,T,PC_ACT,US	4.8 	4.6 	4.7 	4.8 	4.7 	4.5 	4.4 	4.3 	4.4 	4.3 	4.4 	4.2 
